Período,"Number Of Orders, %","Number Of Orders","Produtos Vendidos",Desconto,Frete,Imposto,"Shipping Tax",Faturado,Reembolsado,SubTotal,"Total da Venda","Invoiced Cost","Gross Profit","Average Items Ordered","Average Discount","Average Subtotal","Average Shipping","Average Tax","Average Shipping Tax","Average Invoiced"
"15 Mar, 2022",0.6,125,305," -R$614,88","R$1.865,03","R$0,00","R$0,00","R$61.223,42",,"R$62.467,48","R$61.223,42","R$0,00","R$62.467,48",2.44," -R$4,92","R$499,74","R$14,92","R$0,00","R$0,00","R$489,79"
"16 Mar, 2022",0.6,130,285," -R$288,32","R$515,32","R$0,00","R$0,00","R$51.960,21",,"R$59.444,12","R$51.960,21","R$0,00","R$59.444,12",2.19," -R$2,22","R$457,26","R$3,96","R$0,00","R$0,00","R$399,69"
"17 Mar, 2022",0.5,106,225," -R$226,60","R$438,29","R$0,00","R$0,00","R$43.005,47",,"R$47.699,30","R$43.005,47","R$0,00","R$47.699,30",2.12," -R$2,14","R$449,99","R$4,13","R$0,00","R$0,00","R$405,71"
"18 Mar, 2022",0.5,104,193," -R$384,46","R$612,39","R$0,00","R$0,00","R$37.548,08",,"R$41.068,50","R$37.548,08","R$0,00","R$41.068,50",1.86," -R$3,70","R$394,89","R$5,89","R$0,00","R$0,00","R$361,04"
"19 Mar, 2022",0.4,83,203," -R$447,00","R$1.207,50","R$0,00","R$0,00","R$39.221,29",,"R$40.204,13","R$39.221,29","R$0,00","R$40.204,13",2.45," -R$5,39","R$484,39","R$14,55","R$0,00","R$0,00","R$472,55"
"20 Mar, 2022",0.4,78,179," -R$239,63","R$1.180,56","R$0,00","R$0,00","R$36.311,16",,"R$36.603,90","R$36.311,16","R$0,00","R$36.603,90",2.29," -R$3,07","R$469,28","R$15,14","R$0,00","R$0,00","R$465,53"
"21 Mar, 2022",0.3,63,132," -R$224,79","R$691,01","R$0,00","R$0,00","R$26.023,34",,"R$27.333,07","R$26.023,34","R$0,00","R$27.333,07",2.1," -R$3,57","R$433,86","R$10,97","R$0,00","R$0,00","R$413,07"
"22 Mar, 2022",0.4,79,144," -R$720,80","R$1.165,25","R$0,00","R$0,00","R$28.232,06",,"R$31.186,90","R$28.232,06","R$0,00","R$31.186,90",1.82," -R$9,12","R$394,77","R$14,75","R$0,00","R$0,00","R$357,37"
"23 Mar, 2022",0.4,96,234," -R$1.156,74","R$1.324,73","R$0,00","R$0,00","R$44.786,65",,"R$50.727,87","R$44.786,65","R$0,00","R$50.727,87",2.44," -R$12,05","R$528,42","R$13,80","R$0,00","R$0,00","R$466,53"
"24 Mar, 2022",0.4,82,171," -R$496,62","R$1.089,94","R$0,00","R$0,00","R$33.290,02",,"R$36.604,52","R$33.290,02","R$0,00","R$36.604,52",2.09," -R$6,06","R$446,40","R$13,29","R$0,00","R$0,00","R$405,98"
"25 Mar, 2022",0.4,81,168," -R$457,69","R$1.099,89","R$0,00","R$0,00","R$35.828,34",,"R$36.491,60","R$35.828,34","R$0,00","R$36.491,60",2.07," -R$5,65","R$450,51","R$13,58","R$0,00","R$0,00","R$442,33"
"26 Mar, 2022",0.3,61,150," -R$371,25","R$1.067,22","R$0,00","R$0,00","R$27.112,49",,"R$30.352,88","R$27.112,49","R$0,00","R$30.352,88",2.46," -R$6,09","R$497,59","R$17,50","R$0,00","R$0,00","R$444,47"
"27 Mar, 2022",0.3,74,138," -R$203,74","R$1.016,14","R$0,00","R$0,00","R$29.024,60",,"R$29.095,45","R$29.024,60","R$0,00","R$29.095,45",1.86," -R$2,75","R$393,18","R$13,73","R$0,00","R$0,00","R$392,22"
"28 Mar, 2022",0.3,66,122," -R$280,17","R$953,93","R$0,00","R$0,00","R$25.887,73",,"R$28.166,13","R$25.887,73","R$0,00","R$28.166,13",1.85," -R$4,25","R$426,76","R$14,45","R$0,00","R$0,00","R$392,24"
"29 Mar, 2022",0.4,84,157," -R$262,68","R$1.205,29","R$0,00","R$0,00","R$29.542,64",,"R$33.315,51","R$29.542,64","R$0,00","R$33.315,51",1.87," -R$3,13","R$396,61","R$14,35","R$0,00","R$0,00","R$351,70"
"30 Mar, 2022",0.5,103,210," -R$532,95","R$1.488,04","R$0,00","R$0,00","R$44.016,45",,"R$47.371,06","R$44.016,45","R$0,00","R$47.371,06",2.04," -R$5,17","R$459,91","R$14,45","R$0,00","R$0,00","R$427,34"
"31 Mar, 2022",0.3,75,144," -R$423,07","R$1.027,63","R$0,00","R$0,00","R$27.611,98",,"R$32.454,30","R$27.611,98","R$0,00","R$32.454,30",1.92," -R$5,64","R$432,72","R$13,70","R$0,00","R$0,00","R$368,16"
"01 Apr, 2022",0.3,59,108," -R$29,70","R$770,52","R$0,00","R$0,00","R$22.308,72",,"R$23.792,48","R$22.308,72","R$0,00","R$23.792,48",1.83," -R$0,50","R$403,26","R$13,06","R$0,00","R$0,00","R$378,11"
"02 Apr, 2022",0.2,53,116," -R$519,09","R$743,69","R$0,00","R$0,00","R$22.970,58",,"R$25.057,20","R$22.970,58","R$0,00","R$25.057,20",2.19," -R$9,79","R$472,78","R$14,03","R$0,00","R$0,00","R$433,41"
"03 Apr, 2022",0.3,64,144," -R$233,47","R$773,33","R$0,00","R$0,00","R$30.220,95",,"R$30.445,12","R$30.220,95","R$0,00","R$30.445,12",2.25," -R$3,65","R$475,71","R$12,08","R$0,00","R$0,00","R$472,20"
"04 Apr, 2022",0.3,72,135," -R$420,80","R$1.033,83","R$0,00","R$0,00","R$32.409,70",,"R$32.579,43","R$32.409,70","R$0,00","R$32.579,43",1.88," -R$5,84","R$452,49","R$14,36","R$0,00","R$0,00","R$450,13"
"05 Apr, 2022",0.3,69,141," -R$110,30","R$900,26","R$0,00","R$0,00","R$28.466,90",,"R$32.363,91","R$28.466,90","R$0,00","R$32.363,91",2.04," -R$1,60","R$469,04","R$13,05","R$0,00","R$0,00","R$412,56"
"06 Apr, 2022",0.4,80,137," -R$222,22","R$1.094,72","R$0,00","R$0,00","R$28.930,01",,"R$31.807,90","R$28.930,01","R$0,00","R$31.807,90",1.71," -R$2,78","R$397,60","R$13,68","R$0,00","R$0,00","R$361,63"
"07 Apr, 2022",0.4,77,170," -R$432,59","R$979,44","R$0,00","R$0,00","R$34.022,16",,"R$37.675,62","R$34.022,16","R$0,00","R$37.675,62",2.21," -R$5,62","R$489,29","R$12,72","R$0,00","R$0,00","R$441,85"
"08 Apr, 2022",0.4,91,178," -R$350,80","R$1.238,86","R$0,00","R$0,00","R$32.233,88",,"R$35.645,76","R$32.233,88","R$0,00","R$35.645,76",1.96," -R$3,85","R$391,71","R$13,61","R$0,00","R$0,00","R$354,22"
"09 Apr, 2022",0.3,62,151," -R$720,62","R$799,44","R$0,00","R$0,00","R$33.361,48",,"R$34.094,79","R$33.361,48","R$0,00","R$34.094,79",2.44," -R$11,62","R$549,92","R$12,89","R$0,00","R$0,00","R$538,09"
"10 Apr, 2022",0.3,65,149," -R$515,32","R$1.080,29","R$0,00","R$0,00","R$32.125,66",,"R$31.560,69","R$32.125,66","R$0,00","R$31.560,69",2.29," -R$7,93","R$485,55","R$16,62","R$0,00","R$0,00","R$494,24"
"11 Apr, 2022",0.4,76,141," -R$246,83","R$1.082,40","R$0,00","R$0,00","R$26.137,67",,"R$28.607,90","R$26.137,67","R$0,00","R$28.607,90",1.86," -R$3,25","R$376,42","R$14,24","R$0,00","R$0,00","R$343,92"
"12 Apr, 2022",0.3,69,147," -R$164,00","R$878,20","R$0,00","R$0,00","R$28.883,31",,"R$29.666,17","R$28.883,31","R$0,00","R$29.666,17",2.13," -R$2,38","R$429,94","R$12,73","R$0,00","R$0,00","R$418,60"
"13 Apr, 2022",0.3,61,110," -R$58,50","R$879,83","R$0,00","R$0,00","R$20.182,30",,"R$21.474,11","R$20.182,30","R$0,00","R$21.474,11",1.8," -R$0,96","R$352,03","R$14,42","R$0,00","R$0,00","R$330,86"
