Período,"Number Of Orders, %","Number Of Orders","Produtos Vendidos",Desconto,Frete,Imposto,"Shipping Tax",Faturado,Reembolsado,SubTotal,"Total da Venda","Invoiced Cost","Gross Profit","Average Items Ordered","Average Discount","Average Subtotal","Average Shipping","Average Tax","Average Shipping Tax","Average Invoiced"
"03 Jun, 2022",0.2,42,91," -R$193,70","R$605,46","R$0,00","R$0,00","R$21.596,13",,"R$24.034,37","R$21.596,13","R$0,00","R$24.034,37",2.17," -R$4,61","R$572,25","R$14,42","R$0,00","R$0,00","R$514,19"
"04 Jun, 2022",0.2,48,102," -R$166,60","R$631,44","R$0,00","R$0,00","R$26.559,52",,"R$27.318,95","R$26.559,52","R$0,00","R$27.318,95",2.13," -R$3,47","R$569,14","R$13,16","R$0,00","R$0,00","R$553,32"
"05 Jun, 2022",0.2,47,113," -R$99,85","R$472,04","R$0,00","R$0,00","R$29.466,97",,"R$30.744,38","R$29.466,97","R$0,00","R$30.744,38",2.4," -R$2,12","R$654,14","R$10,04","R$0,00","R$0,00","R$626,96"
"06 Jun, 2022",0.2,54,123," -R$341,15","R$755,34","R$0,00","R$0,00","R$31.101,20",,"R$34.525,17","R$31.101,20","R$0,00","R$34.525,17",2.28," -R$6,32","R$639,36","R$13,99","R$0,00","R$0,00","R$575,95"
"07 Jun, 2022",0.7,148,336," -R$1.404,04","R$1.709,55","R$0,00","R$0,00","R$71.207,13",,"R$76.722,17","R$71.207,13","R$0,00","R$76.722,17",2.27," -R$9,49","R$518,39","R$11,55","R$0,00","R$0,00","R$481,13"
"08 Jun, 2022",0.5,98,244," -R$392,19","R$927,40","R$0,00","R$0,00","R$50.443,80",,"R$53.369,11","R$50.443,80","R$0,00","R$53.369,11",2.49," -R$4,00","R$544,58","R$9,46","R$0,00","R$0,00","R$514,73"
"09 Jun, 2022",0.3,68,145," -R$461,76","R$604,27","R$0,00","R$0,00","R$30.938,32",,"R$36.396,72","R$30.938,32","R$0,00","R$36.396,72",2.13," -R$6,79","R$535,25","R$8,89","R$0,00","R$0,00","R$454,98"
"10 Jun, 2022",0.3,62,143," -R$272,50","R$721,51","R$0,00","R$0,00","R$31.316,11",,"R$33.153,55","R$31.316,11","R$0,00","R$33.153,55",2.31," -R$4,40","R$534,73","R$11,64","R$0,00","R$0,00","R$505,10"
"11 Jun, 2022",0.3,59,158," -R$504,32","R$443,79","R$0,00","R$0,00","R$34.654,71",,"R$35.913,55","R$34.654,71","R$0,00","R$35.913,55",2.68," -R$8,55","R$608,70","R$7,52","R$0,00","R$0,00","R$587,37"
"12 Jun, 2022",0.3,65,141," -R$439,44","R$685,30","R$0,00","R$0,00","R$30.972,65",,"R$33.367,76","R$30.972,65","R$0,00","R$33.367,76",2.17," -R$6,76","R$513,35","R$10,54","R$0,00","R$0,00","R$476,50"
"13 Jun, 2022",0.2,49,111," -R$664,79","R$678,52","R$0,00","R$0,00","R$23.025,62",,"R$25.252,92","R$23.025,62","R$0,00","R$25.252,92",2.27," -R$13,57","R$515,37","R$13,85","R$0,00","R$0,00","R$469,91"
"14 Jun, 2022",0.2,39,56," -R$271,48","R$443,58","R$0,00","R$0,00","R$12.587,27",,"R$15.132,94","R$12.587,27","R$0,00","R$15.132,94",1.44," -R$6,96","R$388,02","R$11,37","R$0,00","R$0,00","R$322,75"
"15 Jun, 2022",0.3,58,120," -R$390,17","R$835,72","R$0,00","R$0,00","R$27.989,70",,"R$29.258,59","R$27.989,70","R$0,00","R$29.258,59",2.07," -R$6,73","R$504,46","R$14,41","R$0,00","R$0,00","R$482,58"
"16 Jun, 2022",0.3,70,155," -R$506,91","R$1.156,78","R$0,00","R$0,00","R$36.629,10",,"R$40.331,31","R$36.629,10","R$0,00","R$40.331,31",2.21," -R$7,24","R$576,16","R$16,53","R$0,00","R$0,00","R$523,27"
"17 Jun, 2022",0.2,51,96," -R$289,70","R$726,81","R$0,00","R$0,00","R$21.399,39",,"R$24.290,93","R$21.399,39","R$0,00","R$24.290,93",1.88," -R$5,68","R$476,29","R$14,25","R$0,00","R$0,00","R$419,60"
"18 Jun, 2022",0.2,48,109," -R$376,44","R$839,12","R$0,00","R$0,00","R$24.295,17",,"R$25.836,80","R$24.295,17","R$0,00","R$25.836,80",2.27," -R$7,84","R$538,27","R$17,48","R$0,00","R$0,00","R$506,15"
"19 Jun, 2022",0.2,38,79," -R$251,40","R$585,47","R$0,00","R$0,00","R$16.992,23",,"R$19.820,34","R$16.992,23","R$0,00","R$19.820,34",2.08," -R$6,62","R$521,59","R$15,41","R$0,00","R$0,00","R$447,16"
"20 Jun, 2022",0.2,50,102," -R$413,32","R$561,51","R$0,00","R$0,00","R$25.560,22",,"R$27.081,65","R$25.560,22","R$0,00","R$27.081,65",2.04," -R$8,27","R$541,63","R$11,23","R$0,00","R$0,00","R$511,20"
"21 Jun, 2022",0.2,38,69," -R$359,36","R$497,08","R$0,00","R$0,00","R$15.542,45",,"R$17.050,00","R$15.542,45","R$0,00","R$17.050,00",1.82," -R$9,46","R$448,68","R$13,08","R$0,00","R$0,00","R$409,01"
"22 Jun, 2022",0.2,35,87," -R$156,79","R$415,27","R$0,00","R$0,00","R$19.021,38",,"R$21.379,91","R$19.021,38","R$0,00","R$21.379,91",2.49," -R$4,48","R$610,85","R$11,86","R$0,00","R$0,00","R$543,47"
"23 Jun, 2022",0.3,57,128," -R$183,10","R$963,66","R$0,00","R$0,00","R$28.306,27",,"R$29.709,78","R$28.306,27","R$0,00","R$29.709,78",2.25," -R$3,21","R$521,22","R$16,91","R$0,00","R$0,00","R$496,60"
"24 Jun, 2022",0.2,38,85," -R$148,44","R$498,03","R$0,00","R$0,00","R$18.020,72",,"R$19.197,90","R$18.020,72","R$0,00","R$19.197,90",2.24," -R$3,91","R$505,21","R$13,11","R$0,00","R$0,00","R$474,23"
"25 Jun, 2022",0.1,29,88,"R$0,00","R$415,70","R$0,00","R$0,00","R$20.574,32",,"R$20.976,81","R$20.574,32","R$0,00","R$20.976,81",3.03,"R$0,00","R$723,34","R$14,33","R$0,00","R$0,00","R$709,46"
"26 Jun, 2022",0.2,43,88," -R$255,48","R$499,64","R$0,00","R$0,00","R$19.882,08",,"R$21.088,29","R$19.882,08","R$0,00","R$21.088,29",2.05," -R$5,94","R$490,43","R$11,62","R$0,00","R$0,00","R$462,37"
"27 Jun, 2022",0.2,45,106," -R$533,72","R$598,98","R$0,00","R$0,00","R$23.068,65",,"R$24.792,08","R$23.068,65","R$0,00","R$24.792,08",2.36," -R$11,86","R$550,94","R$13,31","R$0,00","R$0,00","R$512,64"
"28 Jun, 2022",0.1,31,63," -R$256,48","R$395,07","R$0,00","R$0,00","R$15.489,79",,"R$16.447,69","R$15.489,79","R$0,00","R$16.447,69",2.03," -R$8,27","R$530,57","R$12,74","R$0,00","R$0,00","R$499,67"
"29 Jun, 2022",0.3,57,123," -R$622,02","R$847,35","R$0,00","R$0,00","R$27.424,56",,"R$30.579,49","R$27.424,56","R$0,00","R$30.579,49",2.16," -R$10,91","R$536,48","R$14,87","R$0,00","R$0,00","R$481,13"
"30 Jun, 2022",0.2,51,100," -R$421,50","R$936,13","R$0,00","R$0,00","R$20.812,14",,"R$22.394,85","R$20.812,14","R$0,00","R$22.394,85",1.96," -R$8,26","R$439,11","R$18,36","R$0,00","R$0,00","R$408,08"
"01 Jul, 2022",0.6,126,369," -R$10.106,93","R$2.136,48","R$0,00","R$0,00","R$64.901,58",,"R$80.841,74","R$64.901,58","R$0,00","R$80.841,74",2.93," -R$80,21","R$641,60","R$16,96","R$0,00","R$0,00","R$515,09"
"02 Jul, 2022",0.3,66,196," -R$5.026,03","R$1.205,19","R$0,00","R$0,00","R$36.257,78",,"R$42.610,57","R$36.257,78","R$0,00","R$42.610,57",2.97," -R$76,15","R$645,61","R$18,26","R$0,00","R$0,00","R$549,36"
"03 Jul, 2022",0.4,84,217," -R$5.439,22","R$1.482,06","R$0,00","R$0,00","R$42.642,52",,"R$48.292,33","R$42.642,52","R$0,00","R$48.292,33",2.58," -R$64,75","R$574,91","R$17,64","R$0,00","R$0,00","R$507,65"
"04 Jul, 2022",0.4,77,197," -R$5.233,72","R$1.405,85","R$0,00","R$0,00","R$36.161,43",,"R$41.806,33","R$36.161,43","R$0,00","R$41.806,33",2.56," -R$67,97","R$542,94","R$18,26","R$0,00","R$0,00","R$469,63"
"05 Jul, 2022",0.3,64,160," -R$3.742,03","R$1.143,92","R$0,00","R$0,00","R$28.329,77",,"R$34.719,77","R$28.329,77","R$0,00","R$34.719,77",2.5," -R$58,47","R$542,50","R$17,87","R$0,00","R$0,00","R$442,65"
"06 Jul, 2022",0.4,85,222," -R$5.472,62","R$1.443,37","R$0,00","R$0,00","R$42.188,03",,"R$48.740,85","R$42.188,03","R$0,00","R$48.740,85",2.61," -R$64,38","R$573,42","R$16,98","R$0,00","R$0,00","R$496,33"
"07 Jul, 2022",0.3,55,153," -R$3.425,34","R$1.121,23","R$0,00","R$0,00","R$30.023,76",,"R$34.485,94","R$30.023,76","R$0,00","R$34.485,94",2.78," -R$62,28","R$627,02","R$20,39","R$0,00","R$0,00","R$545,89"
"08 Jul, 2022",0.2,54,141," -R$3.574,94","R$918,93","R$0,00","R$0,00","R$26.417,67",,"R$30.990,61","R$26.417,67","R$0,00","R$30.990,61",2.61," -R$66,20","R$573,90","R$17,02","R$0,00","R$0,00","R$489,22"
"09 Jul, 2022",0.2,38,103," -R$2.457,38","R$630,66","R$0,00","R$0,00","R$20.816,89",,"R$22.924,26","R$20.816,89","R$0,00","R$22.924,26",2.71," -R$64,67","R$603,27","R$16,60","R$0,00","R$0,00","R$547,81"
"10 Jul, 2022",0.2,43,130," -R$3.209,51","R$736,25","R$0,00","R$0,00","R$26.088,39",,"R$29.783,71","R$26.088,39","R$0,00","R$29.783,71",3.02," -R$74,64","R$692,64","R$17,12","R$0,00","R$0,00","R$606,71"
"11 Jul, 2022",0.2,43,91," -R$1.994,36","R$613,63","R$0,00","R$0,00","R$15.891,90",,"R$20.625,68","R$15.891,90","R$0,00","R$20.625,68",2.12," -R$46,38","R$479,67","R$14,27","R$0,00","R$0,00","R$369,58"
"12 Jul, 2022",0.1,26,54," -R$1.067,27","R$362,21","R$0,00","R$0,00","R$11.310,53",,"R$12.273,42","R$11.310,53","R$0,00","R$12.273,42",2.08," -R$41,05","R$472,05","R$13,93","R$0,00","R$0,00","R$435,02"
"13 Jul, 2022",0.3,64,170," -R$4.791,61","R$834,51","R$0,00","R$0,00","R$32.573,08",,"R$39.255,79","R$32.573,08","R$0,00","R$39.255,79",2.66," -R$74,87","R$613,37","R$13,04","R$0,00","R$0,00","R$508,95"
"14 Jul, 2022",0.5,99,229," -R$6.567,30","R$1.316,83","R$0,00","R$0,00","R$42.935,74",,"R$52.069,70","R$42.935,74","R$0,00","R$52.069,70",2.31," -R$66,34","R$525,96","R$13,30","R$0,00","R$0,00","R$433,69"
"15 Jul, 2022",0.3,55,161," -R$5.331,84","R$841,30","R$0,00","R$0,00","R$29.991,49",,"R$37.599,14","R$29.991,49","R$0,00","R$37.599,14",2.93," -R$96,94","R$683,62","R$15,30","R$0,00","R$0,00","R$545,30"
"16 Jul, 2022",0.3,71,205," -R$6.378,89","R$1.052,60","R$0,00","R$0,00","R$38.772,74",,"R$45.581,90","R$38.772,74","R$0,00","R$45.581,90",2.89," -R$89,84","R$642,00","R$14,83","R$0,00","R$0,00","R$546,09"
"17 Jul, 2022",0.3,55,149," -R$4.738,65","R$834,62","R$0,00","R$0,00","R$31.383,55",,"R$36.829,12","R$31.383,55","R$0,00","R$36.829,12",2.71," -R$86,16","R$669,62","R$15,17","R$0,00","R$0,00","R$570,61"
"18 Jul, 2022",0.2,50,116," -R$3.149,38","R$768,56","R$0,00","R$0,00","R$22.725,91",,"R$27.500,67","R$22.725,91","R$0,00","R$27.500,67",2.32," -R$62,99","R$550,01","R$15,37","R$0,00","R$0,00","R$454,52"
"19 Jul, 2022",0.2,46,107," -R$3.089,62","R$819,48","R$0,00","R$0,00","R$19.957,05",,"R$25.710,59","R$19.957,05","R$0,00","R$25.710,59",2.33," -R$67,17","R$558,93","R$17,81","R$0,00","R$0,00","R$433,85"
"20 Jul, 2022",0.5,107,260," -R$3.355,17","R$1.754,34","R$0,00","R$0,00","R$47.832,32",,"R$52.912,40","R$47.832,32","R$0,00","R$52.912,40",2.43," -R$31,36","R$494,51","R$16,40","R$0,00","R$0,00","R$447,03"
"21 Jul, 2022",0.7,162,432," -R$584,10","R$3.065,99","R$0,00","R$0,00","R$75.629,88",,"R$78.831,80","R$75.629,88","R$0,00","R$78.831,80",2.67," -R$3,61","R$486,62","R$18,93","R$0,00","R$0,00","R$466,85"
"22 Jul, 2022",0.7,156,386," -R$497,82","R$2.772,19","R$0,00","R$0,00","R$68.398,41",,"R$72.468,40","R$68.398,41","R$0,00","R$72.468,40",2.47," -R$3,19","R$464,54","R$17,77","R$0,00","R$0,00","R$438,45"
"23 Jul, 2022",0.5,99,256," -R$412,44","R$1.753,36","R$0,00","R$0,00","R$47.090,21",,"R$46.683,35","R$47.090,21","R$0,00","R$46.683,35",2.59," -R$4,17","R$471,55","R$17,71","R$0,00","R$0,00","R$475,66"
"24 Jul, 2022",0.4,82,231," -R$371,46","R$1.401,25","R$0,00","R$0,00","R$43.211,28",,"R$43.461,40","R$43.211,28","R$0,00","R$43.461,40",2.82," -R$4,53","R$530,02","R$17,09","R$0,00","R$0,00","R$526,97"
"25 Jul, 2022",0.4,80,200," -R$432,48","R$1.344,84","R$0,00","R$0,00","R$32.001,55",,"R$34.789,60","R$32.001,55","R$0,00","R$34.789,60",2.5," -R$5,41","R$434,87","R$16,81","R$0,00","R$0,00","R$400,02"
"26 Jul, 2022",0.5,106,249," -R$536,88","R$1.607,63","R$0,00","R$0,00","R$41.766,42",,"R$45.911,40","R$41.766,42","R$0,00","R$45.911,40",2.35," -R$5,06","R$433,13","R$15,17","R$0,00","R$0,00","R$394,02"
"27 Jul, 2022",0.5,107,266," -R$487,24","R$1.599,44","R$0,00","R$0,00","R$47.907,33",,"R$49.031,00","R$47.907,33","R$0,00","R$49.031,00",2.49," -R$4,55","R$458,23","R$14,95","R$0,00","R$0,00","R$447,73"
"28 Jul, 2022",0.4,94,235," -R$198,36","R$1.802,37","R$0,00","R$0,00","R$44.181,88",,"R$44.407,60","R$44.181,88","R$0,00","R$44.407,60",2.5," -R$2,11","R$472,42","R$19,17","R$0,00","R$0,00","R$470,02"
"29 Jul, 2022",0.4,96,256," -R$456,16","R$1.360,53","R$0,00","R$0,00","R$43.224,15",,"R$48.681,10","R$43.224,15","R$0,00","R$48.681,10",2.67," -R$4,75","R$507,09","R$14,17","R$0,00","R$0,00","R$450,25"
"30 Jul, 2022",0.3,71,167," -R$112,98","R$971,03","R$0,00","R$0,00","R$27.705,67",,"R$29.220,60","R$27.705,67","R$0,00","R$29.220,60",2.35," -R$1,59","R$411,56","R$13,68","R$0,00","R$0,00","R$390,22"
"31 Jul, 2022",0.4,79,178," -R$285,64","R$1.111,22","R$0,00","R$0,00","R$33.792,48",,"R$34.331,60","R$33.792,48","R$0,00","R$34.331,60",2.25," -R$3,62","R$434,58","R$14,07","R$0,00","R$0,00","R$427,75"
"01 Aug, 2022",0.3,61,108," -R$106,98","R$797,85","R$0,00","R$0,00","R$21.136,10",,"R$21.612,40","R$21.136,10","R$0,00","R$21.612,40",1.77," -R$1,75","R$354,30","R$13,08","R$0,00","R$0,00","R$346,49"
"02 Aug, 2022",0.3,71,173," -R$415,30","R$1.087,29","R$0,00","R$0,00","R$29.325,06",,"R$31.086,40","R$29.325,06","R$0,00","R$31.086,40",2.44," -R$5,85","R$437,84","R$15,31","R$0,00","R$0,00","R$413,03"
"03 Aug, 2022",0.4,89,200," -R$163,38","R$1.205,86","R$0,00","R$0,00","R$36.011,92",,"R$38.135,35","R$36.011,92","R$0,00","R$38.135,35",2.25," -R$1,84","R$428,49","R$13,55","R$0,00","R$0,00","R$404,63"
"04 Aug, 2022",0.5,102,259," -R$364,36","R$1.392,89","R$0,00","R$0,00","R$50.210,01",,"R$52.195,80","R$50.210,01","R$0,00","R$52.195,80",2.54," -R$3,57","R$511,72","R$13,66","R$0,00","R$0,00","R$492,26"
"05 Aug, 2022",0.4,80,159," -R$304,46","R$1.073,86","R$0,00","R$0,00","R$27.954,50",,"R$29.578,80","R$27.954,50","R$0,00","R$29.578,80",1.99," -R$3,81","R$369,74","R$13,42","R$0,00","R$0,00","R$349,43"
"06 Aug, 2022",0.4,77,197," -R$418,04","R$1.130,97","R$0,00","R$0,00","R$37.883,11",,"R$38.724,60","R$37.883,11","R$0,00","R$38.724,60",2.56," -R$5,43","R$502,92","R$14,69","R$0,00","R$0,00","R$491,99"
"07 Aug, 2022",0.3,70,144," -R$163,98","R$864,21","R$0,00","R$0,00","R$25.195,76",,"R$26.270,80","R$25.195,76","R$0,00","R$26.270,80",2.06," -R$2,34","R$375,30","R$12,35","R$0,00","R$0,00","R$359,94"
"08 Aug, 2022",0.4,76,140," -R$126,36","R$877,62","R$0,00","R$0,00","R$28.418,85",,"R$28.936,80","R$28.418,85","R$0,00","R$28.936,80",1.84," -R$1,66","R$380,75","R$11,55","R$0,00","R$0,00","R$373,93"
"09 Aug, 2022",0.3,70,132," -R$214,32","R$791,77","R$0,00","R$0,00","R$26.379,20",,"R$27.538,40","R$26.379,20","R$0,00","R$27.538,40",1.89," -R$3,06","R$393,41","R$11,31","R$0,00","R$0,00","R$376,85"
"10 Aug, 2022",0.3,75,150," -R$525,80","R$1.240,16","R$0,00","R$0,00","R$27.195,38",,"R$33.481,40","R$27.195,38","R$0,00","R$33.481,40",2," -R$7,01","R$446,42","R$16,54","R$0,00","R$0,00","R$362,61"
"11 Aug, 2022",0.4,86,196," -R$179,50","R$1.306,72","R$0,00","R$0,00","R$38.772,67",,"R$41.109,40","R$38.772,67","R$0,00","R$41.109,40",2.28," -R$2,09","R$478,02","R$15,19","R$0,00","R$0,00","R$450,85"
"12 Aug, 2022",0.3,67,134," -R$57,42","R$1.071,38","R$0,00","R$0,00","R$29.186,16",,"R$30.255,60","R$29.186,16","R$0,00","R$30.255,60",2," -R$0,86","R$451,58","R$15,99","R$0,00","R$0,00","R$435,61"
"13 Aug, 2022",0.2,35,72," -R$28,98","R$390,70","R$0,00","R$0,00","R$12.549,21",,"R$14.258,40","R$12.549,21","R$0,00","R$14.258,40",2.06," -R$0,83","R$407,38","R$11,16","R$0,00","R$0,00","R$358,55"
"14 Aug, 2022",0.2,46,96," -R$277,38","R$724,91","R$0,00","R$0,00","R$21.912,06",,"R$22.392,00","R$21.912,06","R$0,00","R$22.392,00",2.09," -R$6,03","R$486,78","R$15,76","R$0,00","R$0,00","R$476,35"
"15 Aug, 2022",0.2,38,71," -R$107,48","R$479,72","R$0,00","R$0,00","R$15.503,56",,"R$16.867,60","R$15.503,56","R$0,00","R$16.867,60",1.87," -R$2,83","R$443,88","R$12,62","R$0,00","R$0,00","R$407,99"
"16 Aug, 2022",0.2,49,101," -R$316,20","R$724,12","R$0,00","R$0,00","R$21.759,44",,"R$24.319,40","R$21.759,44","R$0,00","R$24.319,40",2.06," -R$6,45","R$496,31","R$14,78","R$0,00","R$0,00","R$444,07"
"17 Aug, 2022",0.2,48,80," -R$95,40","R$570,71","R$0,00","R$0,00","R$17.215,25",,"R$20.564,80","R$17.215,25","R$0,00","R$20.564,80",1.67," -R$1,99","R$428,43","R$11,89","R$0,00","R$0,00","R$358,65"
"18 Aug, 2022",0.2,41,77," -R$198,38","R$537,12","R$0,00","R$0,00","R$17.583,94",,"R$17.384,00","R$17.583,94","R$0,00","R$17.384,00",1.88," -R$4,84","R$424,00","R$13,10","R$0,00","R$0,00","R$428,88"
"19 Aug, 2022",0.2,34,63," -R$37,80","R$431,89","R$0,00","R$0,00","R$13.543,00",,"R$15.581,40","R$13.543,00","R$0,00","R$15.581,40",1.85," -R$1,11","R$458,28","R$12,70","R$0,00","R$0,00","R$398,32"
"20 Aug, 2022",0.1,30,68," -R$68,48","R$403,23","R$0,00","R$0,00","R$13.938,98",,"R$15.245,40","R$13.938,98","R$0,00","R$15.245,40",2.27," -R$2,28","R$508,18","R$13,44","R$0,00","R$0,00","R$464,63"
"21 Aug, 2022",0.2,34,77,"R$0,00","R$396,85","R$0,00","R$0,00","R$18.527,82",,"R$19.671,00","R$18.527,82","R$0,00","R$19.671,00",2.26,"R$0,00","R$578,56","R$11,67","R$0,00","R$0,00","R$544,94"
"22 Aug, 2022",0.2,35,75," -R$184,60","R$439,86","R$0,00","R$0,00","R$19.860,41",,"R$21.583,80","R$19.860,41","R$0,00","R$21.583,80",2.14," -R$5,27","R$616,68","R$12,57","R$0,00","R$0,00","R$567,44"
"23 Aug, 2022",0.2,47,78," -R$197,68","R$447,40","R$0,00","R$0,00","R$21.803,00",,"R$22.390,40","R$21.803,00","R$0,00","R$22.390,40",1.66," -R$4,21","R$476,39","R$9,52","R$0,00","R$0,00","R$463,89"
"24 Aug, 2022",0.2,40,72," -R$126,40","R$616,09","R$0,00","R$0,00","R$17.910,37",,"R$18.776,00","R$17.910,37","R$0,00","R$18.776,00",1.8," -R$3,16","R$469,40","R$15,40","R$0,00","R$0,00","R$447,76"
"25 Aug, 2022",0.2,49,95," -R$209,26","R$494,89","R$0,00","R$0,00","R$23.188,33",,"R$26.749,80","R$23.188,33","R$0,00","R$26.749,80",1.94," -R$4,27","R$545,91","R$10,10","R$0,00","R$0,00","R$473,23"
"26 Aug, 2022",0.2,42,84," -R$27,40","R$559,87","R$0,00","R$0,00","R$21.680,45",,"R$21.669,30","R$21.680,45","R$0,00","R$21.669,30",2," -R$0,65","R$515,94","R$13,33","R$0,00","R$0,00","R$516,20"
"27 Aug, 2022",0.2,42,74," -R$129,62","R$479,80","R$0,00","R$0,00","R$16.105,70",,"R$18.070,00","R$16.105,70","R$0,00","R$18.070,00",1.76," -R$3,09","R$430,24","R$11,42","R$0,00","R$0,00","R$383,47"
"28 Aug, 2022",0.2,35,52," -R$65,80","R$418,06","R$0,00","R$0,00","R$14.460,46",,"R$14.108,20","R$14.460,46","R$0,00","R$14.108,20",1.49," -R$1,88","R$403,09","R$11,94","R$0,00","R$0,00","R$413,16"
"29 Aug, 2022",0.2,53,99," -R$269,50","R$583,63","R$0,00","R$0,00","R$22.902,24",,"R$24.478,30","R$22.902,24","R$0,00","R$24.478,30",1.87," -R$5,08","R$461,85","R$11,01","R$0,00","R$0,00","R$432,12"
"30 Aug, 2022",0.2,36,56," -R$34,20","R$315,36","R$0,00","R$0,00","R$13.801,80",,"R$15.691,00","R$13.801,80","R$0,00","R$15.691,00",1.56," -R$0,95","R$435,86","R$8,76","R$0,00","R$0,00","R$383,38"
"31 Aug, 2022",0.2,45,82," -R$312,84","R$481,85","R$0,00","R$0,00","R$17.502,23",,"R$20.919,20","R$17.502,23","R$0,00","R$20.919,20",1.82," -R$6,95","R$464,87","R$10,71","R$0,00","R$0,00","R$388,94"
"01 Sep, 2022",0.2,52,90," -R$24,96","R$633,71","R$0,00","R$0,00","R$21.293,62",,"R$23.657,40","R$21.293,62","R$0,00","R$23.657,40",1.73," -R$0,48","R$454,95","R$12,19","R$0,00","R$0,00","R$409,49"
"02 Sep, 2022",0.2,54,109," -R$38,90","R$455,85","R$0,00","R$0,00","R$27.498,96",,"R$30.982,20","R$27.498,96","R$0,00","R$30.982,20",2.02," -R$0,72","R$573,74","R$8,44","R$0,00","R$0,00","R$509,24"
"03 Sep, 2022",0.2,41,93," -R$144,44","R$458,28","R$0,00","R$0,00","R$21.895,16",,"R$22.045,40","R$21.895,16","R$0,00","R$22.045,40",2.27," -R$3,52","R$537,69","R$11,18","R$0,00","R$0,00","R$534,03"
"04 Sep, 2022",0.2,35,74," -R$192,90","R$300,32","R$0,00","R$0,00","R$20.405,51",,"R$23.011,80","R$20.405,51","R$0,00","R$23.011,80",2.11," -R$5,51","R$657,48","R$8,58","R$0,00","R$0,00","R$583,01"
"05 Sep, 2022",0.2,48,76," -R$344,16","R$415,36","R$0,00","R$0,00","R$19.254,91",,"R$22.207,40","R$19.254,91","R$0,00","R$22.207,40",1.58," -R$7,17","R$462,65","R$8,65","R$0,00","R$0,00","R$401,14"
"06 Sep, 2022",0.2,34,73," -R$534,20","R$401,02","R$0,00","R$0,00","R$18.571,28",,"R$20.366,60","R$18.571,28","R$0,00","R$20.366,60",2.15," -R$15,71","R$599,02","R$11,79","R$0,00","R$0,00","R$546,21"
"07 Sep, 2022",0.3,57,102," -R$375,22","R$640,80","R$0,00","R$0,00","R$30.197,20",,"R$30.742,59","R$30.197,20","R$0,00","R$30.742,59",1.79," -R$6,58","R$539,34","R$11,24","R$0,00","R$0,00","R$529,78"
"08 Sep, 2022",0.2,33,68," -R$263,88","R$369,24","R$0,00","R$0,00","R$14.714,66",,"R$18.468,60","R$14.714,66","R$0,00","R$18.468,60",2.06," -R$8,00","R$559,65","R$11,19","R$0,00","R$0,00","R$445,90"
"09 Sep, 2022",0.1,27,55," -R$278,90","R$236,38","R$0,00","R$0,00","R$14.874,18",,"R$16.012,40","R$14.874,18","R$0,00","R$16.012,40",2.04," -R$10,33","R$593,05","R$8,75","R$0,00","R$0,00","R$550,90"
"10 Sep, 2022",0.2,33,59," -R$173,60","R$331,05","R$0,00","R$0,00","R$17.110,42",,"R$17.386,00","R$17.110,42","R$0,00","R$17.386,00",1.79," -R$5,26","R$526,85","R$10,03","R$0,00","R$0,00","R$518,50"
"11 Sep, 2022",0.1,24,34," -R$41,00","R$341,37","R$0,00","R$0,00","R$10.224,17",,"R$10.385,00","R$10.224,17","R$0,00","R$10.385,00",1.42," -R$1,71","R$432,71","R$14,22","R$0,00","R$0,00","R$426,01"
"12 Sep, 2022",0.2,38,63," -R$440,60","R$402,12","R$0,00","R$0,00","R$19.388,52",,"R$19.806,00","R$19.388,52","R$0,00","R$19.806,00",1.66," -R$11,59","R$521,21","R$10,58","R$0,00","R$0,00","R$510,22"
"13 Sep, 2022",0.1,32,60," -R$703,40","R$326,08","R$0,00","R$0,00","R$19.449,08",,"R$20.425,00","R$19.449,08","R$0,00","R$20.425,00",1.88," -R$21,98","R$638,28","R$10,19","R$0,00","R$0,00","R$607,78"
"14 Sep, 2022",0.2,45,87," -R$491,00","R$692,88","R$0,00","R$0,00","R$22.390,17",,"R$23.635,00","R$22.390,17","R$0,00","R$23.635,00",1.93," -R$10,91","R$525,22","R$15,40","R$0,00","R$0,00","R$497,56"
"15 Sep, 2022",0.2,51,108," -R$336,40","R$718,23","R$0,00","R$0,00","R$29.656,77",,"R$32.491,00","R$29.656,77","R$0,00","R$32.491,00",2.12," -R$6,60","R$637,08","R$14,08","R$0,00","R$0,00","R$581,51"
"16 Sep, 2022",0.2,38,72," -R$581,80","R$467,56","R$0,00","R$0,00","R$19.980,98",,"R$21.252,00","R$19.980,98","R$0,00","R$21.252,00",1.89," -R$15,31","R$559,26","R$12,30","R$0,00","R$0,00","R$525,82"
"17 Sep, 2022",0.1,30,47," -R$332,30","R$352,72","R$0,00","R$0,00","R$13.100,04",,"R$13.807,00","R$13.100,04","R$0,00","R$13.807,00",1.57," -R$11,08","R$460,23","R$11,76","R$0,00","R$0,00","R$436,67"
"18 Sep, 2022",0.1,27,54," -R$417,50","R$361,43","R$0,00","R$0,00","R$16.122,93",,"R$16.432,00","R$16.122,93","R$0,00","R$16.432,00",2," -R$15,46","R$608,59","R$13,39","R$0,00","R$0,00","R$597,15"
"19 Sep, 2022",0.2,42,84," -R$99,80","R$427,45","R$0,00","R$0,00","R$23.874,81",,"R$26.161,00","R$23.874,81","R$0,00","R$26.161,00",2," -R$2,38","R$622,88","R$10,18","R$0,00","R$0,00","R$568,45"
